category,device,pps_idle,pps_active,pps_var_idle,pps_var_active,size_mean_idle,size_mean_active,size_var_idle,size_var_active,proto_tls_idle,proto_tls_active,proto_tcp_idle,proto_tcp_active,proto_udp_idle,proto_udp_active,proto_mdns_idle,proto_mdns_active,proto_ssdp_idle,proto_ssdp_active,proto_arp_idle,proto_arp_active,proto_dhcp_idle,proto_dhcp_active,proto_other_idle,proto_other_active,inout_ratio_idle,inout_ratio_active,num_packets_idle,num_packets_active,bts_idle,bts_active
camera,yibefb,0.23933635226917616,81.26743311135331,6.389920424403183,222.94489301097678,114.28924162257496,351.6986993404384,11552.813717975083,174861.60858198733,0.047619047619047616,0.0004205602683379663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02821869488536155,8.206054016350562e-05,0.9241622574955908,0.9994973791914985,0.00028191965289892383,0.0675518129507586,567,194978,107.72335245687462,499.43200428158923
lights,antela,0.47681623935268647,0.4801672642249358,1.2152783568192556,1.132917813168793,275.27320490367777,274.15391304347827,5447.8060999737545,5592.495872403224,0.03677758318739054,0.036521739130434785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014010507880910683,0.01391304347826087,0.9492119089316988,0.9495652173913044,7.292204633247059e-05,7.991449149410131e-05,1142,1150,74.28607107893059,75.26315913004441
lights,fitop,0.4763948028452365,0.4676340846625885,1.016676578451779,0.5929264189736456,275.3102541630149,277.7026785714286,5668.877342128328,4856.250216232606,0.033304119193689745,0.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014022787028921999,0.014285714285714285,0.9526730937773883,0.9669642857142857,7.19231141909299e-05,6.093546933797109e-05,1141,1120,75.76834219516819,70.15443495995466
lights,lepro,0.46689471692642565,0.4770219397434527,0.5769301302035579,1.0984418857764795,201.7298747763864,200.61875547765118,2044.3459464480472,2373.03961283577,0.018783542039355994,0.03943908851884312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014311270125223614,0.014022787028921999,0.9669051878354203,0.9465381244522348,6.09355910802282e-05,7.492013513594509e-05,1118,1141,45.68133871934724,49.19087636367269
lights,lifx,0.1555844741078046,0.157664166193573,0.324526270456503,0.7957971676564638,78.6522911051213,78.82978723404256,4120.881474466379,4111.688283687944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431266846361186,0.0425531914893617,0.9568733153638814,0.9574468085106383,0.00018796560229478006,0.0001899646665720176,371,376,64.34967668255311,64.28011174649063
lights,tapo,0.026294183191083002,1.2760688432908591,2.1973684210526314,42270.48625792812,94.4,58.68104575163399,5259.725925925923,553.3091535317408,0.9272727272727272,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.006535947712418301,0.0,0.9816993464052287,2.699924402116741e-05,0.0019548438072805696,55,3060,72.5502621243202,24.79859323017886
lights,wiz,0.11946662031897509,0.08296846922694832,3.084070796460177,0.8213166144200627,108.42807017543859,96.81632653061224,16604.527378304916,5746.078911564627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07017543859649122,0.08163265306122448,0.9298245614035088,0.9183673469387755,0.00011798029729035251,6.799129711396941e-05,285,196,128.97802232503312,75.88586360895513
lights,yeelight4,0.14315845098412705,0.1688664626308953,0.31666984066527004,0.8321394160278156,99.71720116618076,103.99007444168734,6797.332071675788,9027.567065417332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04664723032069971,0.04218362282878412,0.9533527696793003,0.9578163771712159,0.00016997059508704995,0.0001769600070384093,343,403,82.58909268473387,95.18237637262914
tv,appletv,0.28191246384639423,0.5059400906060638,82.53557422969189,443.9487004103966,496.0791245791246,362.866048862679,210755.02071019355,219981.22909086774,0.025252525252525252,0.5686604886267902,0.0,0.0,0.0,0.0,0.6060606060606061,0.05054759898904802,0.0,0.0,0.0,0.0,0.003367003367003367,0.0016849199663016006,0.3653198653198653,0.37910699241786017,9.395302348825587e-05,0.0005476500516170168,594,1187,459.3625379646331,469.5275057897408
tv,LGtv,2.6299111894517826,560.4879960805379,110.07054133687679,572348.1986432235,163.34555555555556,1093.0348923876159,34789.5924314265,407881.40453291015,0.08015873015873017,0.9954543493493568,0.0,0.0,0.0,0.0,0.005079365079365079,1.7852334415879057e-05,0.02396825396825397,0.00011008939556458751,0.0,0.0,0.0025396825396825397,1.0413861742596116e-05,0.8882539682539683,0.004407295058920142,0.002263883341782641,0.7120604211427262,6300,1344362,189.14959495346233,1199.1439320373802
tv,samsungtv,11.953214121765162,167.39761818237196,16446.445546687733,41980.062820754116,1021.043294430079,933.1591857764769,412940.16400594753,313304.236410739,0.9488783283248305,0.9929086487603203,0.0,0.0,0.0,0.0,0.021105597875462994,0.001139992582581013,0.0,0.0,0.0,0.0,0.0005590886854427283,3.982506838710962e-05,0.02945698511426375,0.005911533588711585,0.020076896148548205,0.2579596342131005,28618,401757,654.5574189056645,727.133481255964
tv,samsungtvsmall,2.4832989202172495,144.64598726766278,31.149501551395584,49617.0993092616,220.9005877413938,974.4751297023399,65092.31124419599,373480.45569664205,0.16826196473551638,0.9833698698799623,0.0,0.0,0.0,0.0,0.0006717044500419815,1.1522695388905373e-05,0.020151133501259445,0.0004609078155562149,0.0,0.0,0.002686817800167926,4.609078155562149e-05,0.8082283795130143,0.016111608827536938,0.0006943498030851812,0.21834268474002366,5955,347141,257.6152476138217,755.7764608137314
tv,tclroku,0.6611717257708871,115.04188996888342,87.17088664759896,126399.53977727557,333.18176060797975,1199.163415263133,178264.24134011753,214874.15416025187,0.27612412919569346,0.9961462604924505,0.0,0.0,0.0,0.0,0.36858771374287524,0.0020049615534093426,0.060797973400886635,0.0002578845476305495,0.0,0.0,0.02026599113362888,0.00011622965527010683,0.27422419252691577,0.0014746637512394803,0.00042051976642674065,0.2294913806484205,1579,275317,422.8746738074991,578.5870918211428
