category,device,pps_idle,pps_active,pps_var_idle,pps_var_active,size_mean_idle,size_mean_active,size_var_idle,size_var_active,proto_tls_idle,proto_tls_active,proto_tcp_idle,proto_tcp_active,proto_udp_idle,proto_udp_active,proto_mdns_idle,proto_mdns_active,proto_ssdp_idle,proto_ssdp_active,proto_arp_idle,proto_arp_active,proto_dhcp_idle,proto_dhcp_active,proto_other_idle,proto_other_active,inout_ratio_idle,inout_ratio_active,num_packets_idle,num_packets_active,bts_idle,bts_active
appliance,cosori,0.19713567516545713,0.5873875726517163,0.31348935847913356,1.1130734313196036,97.99574468085106,204.6445868945869,2778.3667195935213,33081.2727361799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03404255319148936,0.011396011396011397,0.9659574468085106,0.9886039886039886,0.00016095026636769237,0.0007885150632361098,470,1404,52.90735024116321,182.4699671018081
appliance,honeywell,0.3739227654942265,0.09440800410997993,0.5,6.072534332084895,345.3333333333333,210.66816143497758,135507.66666666666,86785.39389164951,0.0,0.26905829596412556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07174887892376682,1.0,0.6591928251121076,4.999950000499995e-06,0.00010298764148302204,15,223,368.48758274929145,294.68801603328893
appliance,levoit,0.3331616760478254,0.32876728106817366,12.998535564853555,11.270024465482395,136.2092731829574,135.96296296296296,27536.86079219378,29428.662309368192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10025062656641603,0.09323116219667944,0.899749373433584,0.9067688378033205,0.0003188625702322299,0.00031386597922687014,798,783,166.2755034462958,171.87660990629092
appliance,swan,0.09189975131806419,0.0807904166687581,5.741815476190476,1.8699436763952888,135.59701492537314,124.19786096256685,41179.98179104478,18942.062791098844,0.13930348258706468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07960199004975124,0.0962566844919786,0.7810945273631841,0.9037433155080213,9.598992105828888e-05,8.899127885467224e-05,201,187,203.0204137434251,137.71095713566552
appliance,weekett,0.5273700138833531,0.6011180649967054,1.3845874651630048,0.7789590254706534,196.1384493670886,187.0916030534351,3123.596810261884,3648.6929919423237,0.03164556962025317,0.012491325468424705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.011103400416377515,0.9556962025316456,0.9764052741151977,0.00011486801664887045,0.00017078310545607078,1264,1441,56.41651753164287,61.00553008880771
appliance,xiaomiblender,1.1006734474944158,1.7770739884522893,3.497200803398283,4.869403072046244,195.24770290964778,252.95811764705883,23391.17607668229,72359.45882441543,0.9483154670750383,0.9882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875957120980092,0.0037647058823529413,0.032924961715160794,0.008,0.0014173431258858395,0.0023565484799214285,2612,4250,154.04241424013182,270.774209334566
audio,bose,0.8714040463443372,24.789689477520753,25.083626454750735,68.4492795926405,362.8036485837734,735.6606407130245,55272.87353135003,473067.4466186194,0.06048967834853577,0.955503237198352,0.0,0.0,0.0,0.0,0.0043206913106096975,0.00023543260741612713,0.7498799807969275,0.026402085260237115,0.0,0.0,0.007681228996639462,0.00026906583704700243,0.17762842054728756,0.017590179096947784,0.00031244696886510877,0.029097365831673157,2083,59465,235.97324055841847,712.5886765505022
audio,echodot3,1.1868815407033246,37.1699868138847,0.8490028490028488,565.5255182715019,73.0677966101695,553.1085966761613,392.9263588544711,412829.23481715075,0.15254237288135594,0.7866082041850764,0.0,0.0,0.0,0.0,0.0,0.006145288985578756,0.0,0.0003476349608630318,0.0,0.0,0.0,0.00017942449592930676,0.847457627118644,0.20671944737255254,6.999636018927016e-06,0.0416099244116657,59,89174,21.009251703084793,679.6878735821449
audio,echodot5,4.393815500080818,31.01125573919906,109.72587665156138,8352.442687961082,118.8078420203171,825.0491635875042,47963.308875071125,492664.98158000695,0.10595272002278554,0.8814914343298623,0.0,0.0,0.0,0.0,0.033608658501851324,0.004192139737991266,0.0,0.0004299630500503863,0.0,0.0,0.0015190354125130543,0.00021498152502519316,0.8589195860628501,0.11367148135707088,0.00521341063094106,0.043828304731704286,10533,74425,223.39908684091208,732.9122327865366
audio,echospot,6.456631101325491,22.586975714344682,477.1965630915999,247.7455389564946,165.03684550743375,448.42293992802433,83939.64748840008,380174.1785487537,0.246218487394958,0.5767278767186491,0.0,0.0,0.0,0.0,0.017194570135746608,0.004761465350189167,0.001292824822236587,0.0009227646027498385,0.0,0.0,0.0010342598577892696,0.0003321952569899419,0.7342598577892695,0.417255698071422,0.007158924554575642,0.025916886119853554,15470,54185,296.1800293424757,639.1696372843517
audio,googlehome,3.2819640826040013,19.104432676623226,89.88432031630632,7271.584174487412,220.96354629747236,966.9967493509611,121949.3544890482,363290.1674778701,0.11660104153435794,0.9259113816349237,0.0,0.0,0.0,0.0,0.15292772767687032,0.021358291336693064,0.0,0.0,0.0,0.0,0.0020322621618188747,0.0003490629840521849,0.7284389686269529,0.052381264044331,0.0032829803648308986,0.03378615479357134,7873,45837,352.494441650414,621.8400027883183
audio,homepod,1.7307207522121233,4.3985968367585375,3843.366919290063,51.38094363075906,624.8231751385208,214.77349900407853,419913.5359543498,76445.67056683947,0.8352204288123344,0.20620316797875368,0.0,0.0,0.0,0.0,0.04794025536015418,0.028549748648392298,0.0,0.0,0.0,0.0,0.000481811611659841,0.00018969932656739068,0.1163575042158516,0.7650573840462866,0.002188714497014845,0.005115376964392282,4151,10543,649.7380786999054,280.8866988716191
audio,nestmini2,8.355416909683651,30.8540239285725,22.719653389366673,7798.066888286788,84.55708013172338,695.6857961146686,13587.449288974069,462940.8878594728,0.06895519409240594,0.5367323228229446,0.0,0.0,0.0,0.0,0.0328310547849516,0.014509199967577206,0.0,0.0,0.0,0.0,0.0007983235206067259,0.00021615195482424144,0.8974154276020357,0.44854232525465404,0.009459832575115068,0.047422700520287304,20042,74022,124.9206316565114,711.2516193530954
audio,sonos,0.39099927976320514,14.829360766408469,104.08101585842333,89511.05297873341,677.1154261057173,1203.5989711410723,153192.71128445645,311640.9417209155,0.18230852211434737,0.9535034907713615,0.0,0.0,0.0,0.0,0.010787486515641856,0.00016959213092512508,0.26105717367853293,0.006840215947313378,0.0,0.0,0.017259978425026967,0.0004522456824670002,0.5285868392664509,0.03903445546793295,0.0001608767683954091,0.028883657470389432,927,35379,391.7894040854758,573.0774612745208
camera,amcrest266e,0.4531018322113967,3445.221096943174,15.467600276625175,1175962.5141640615,149.0388170055453,73.89226576104265,31404.270462243996,25200.78279681036,0.0,1.4756143242478631e-05,0.0,0.0,0.0,0.0,0.0,1.5360903211432673e-05,0.0,1.4877095236269439e-05,0.0,0.0,0.014787430683918669,3.0479902435283728e-05,0.9852125693160814,0.9999245259558746,0.0004587142210402919,4.4062266664799985,1082,8267743,177.6656026955647,3603.9686411661014
camera,bluram6da9,1.2315836963089226,118.49021115486285,14.282887958014348,2108.814734106962,158.12419409569054,889.7497739864568,63322.14003562828,468722.67204061226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03664743807261622,0.0004080555799841703,0.0,0.0,0.005429250084832033,5.628352827367866e-05,0.9579233118425518,0.9995356608917422,0.001297862420593283,0.08686545388073444,2947,284275,252.87049172848958,803.12345022569
camera,boifun80c0,0.17860796195609102,67.84950290328702,0.5288311688311689,494.7391578088093,148.71698113207546,450.3820499431766,6895.219947366074,165237.1850522775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,9.82891544061185e-05,0.9622641509433962,0.9999017108455939,0.00017195666691993618,0.060361501486877994,424,162785,83.21606907057907,474.34327290754857
camera,google1d15,4.090266031478772,103.9155891926277,5.752772917509277,1685.8482527441988,74.06114338122899,724.7870152785018,5576.885987970981,151241.1402939238,0.014266788953429125,0.0006175562417291574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016304901661061857,6.416168745238e-05,0.9841027208804647,0.9993182820708184,0.004881043836848746,0.02659060039818933,9813,249370,78.76881708846555,492.81292820888245
camera,hualai,1.8072206725089686,173.68059240188956,6.535338155056465,2004.6267197695406,64.49815413013383,554.5893160424882,3414.708397238182,217291.91279591765,0.005768343331795108,6.716754464242878e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036917397323488694,3.838145408138787e-05,0.990539916935856,0.9998944510012762,0.0003525966652722166,0.0700110711529254,4334,416868,60.24272697850569,639.8263987714392
